#,都道府県ID,都道府県,所在地,マンション名,管理組合名,管理組合設立予定年月,組合ホームページ,敷地面積,敷地権利形態,建築面積 ／ 延べ面積,専有部分の構成,専有部分の合計床面積,建物構造／階数,新築年月日,集会室,管理事務室,昇降機,敷地内駐車場,自転車／バイク置場等,ブロードバンド対応,TV共同視聴設備,防犯カメラ,オートロック,宅配ロッカー,地震対策,断熱対策,バリアフリー,住宅性能評価書（設計時）,住宅性能評価書（建設時）,既存住宅性能評価書,売主,設計者,工事管理者,施工業者
1,1,北海道,北海道札幌市中央区南26条西13丁目1番39号,D’レスティア山鼻南,,2008年4月,http://www.daiwahouse.co.jp/mansion/,1765.6 ㎡,所有権,782.3 ㎡ ／ －,住宅：３４ 戸 ／ 非住宅：－,住宅： 3069.03 ㎡ ／ 非住宅：－ （壁芯面積）,鉄筋コンクリート／ 地上７階,2008年1月31日,なし,あり,３基,平置式：16台、機械式：18台,自転車：５４台／バイク：２台,構内LAN方式,CATV、CS、BS、地上波デジタル,あり,あり,あり,－,開口部（断熱サッシ）,階段の手摺： あり 、廊下の手摺： あり 、車イス用スロープ： あり,あり,あり,大和ハウス工業株式会社,株式会社建築工房,株式会社建築工房,青木あすなろ建設株式会社 北海道支店,
2,1,北海道,北海道函館市青柳町8-8,アートビュー元町,アートビュー元町住宅管理組合 あーとびゅーもとまちじゅうたくかんりくみあい,管理組合の自己紹介を見る,－,1059.28 ㎡,所有権、貸借権,183.51 ㎡ ／ 1817.84 ㎡,住宅：１８ 戸 ／ 非住宅：－,住宅： 1624.17 ㎡ ／ 非住宅：－ （壁芯面積）,鉄骨鉄筋コンクリート／ 地上１０階,1988年3月28日,なし,なし,１基,平置式：１７台,自転車：４台,なし,BS,あり,あり,なし,－,－,階段の手摺： あり 、廊下の手摺： あり 、車イス用スロープ： －,－,－,－,株式会社緑地,株式会社長尾建築設計,株式会社長尾建築設計,田畑建設株式会社
3,1,北海道,北海道札幌市中央区宮の森1条15丁目4番33,アームズ宮の森,アームズ宮の森管理組合 あーむずみやのもりかんりくみあい,－,－,2118.15 ㎡,所有権,845.37 ㎡ ／ 4283.98 ㎡,住宅：２９ 戸 ／ 非住宅：－,住宅： 2958.16 ㎡ ／ 非住宅：－ （登記簿面積）,鉄筋コンクリート／ 地上６階,1997年5月10日,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
4,1,北海道,北海道札幌市中央区南七条西14丁目2-15,アルファコート・南７条,アルファコート・南７条管理組合 あるふぁこーと・みなみ７じょうかんりくみあい,管理組合の自己紹介を見る,－,1007.02 ㎡,所有権,697.57 ㎡ ／ 3551.02 ㎡,住宅：３６ 戸 ／ 非住宅：－,住宅： 2376.7 ㎡ ／ 非住宅： 1174.32 ㎡ （登記簿面積）,鉄骨鉄筋コンクリート／ 地上１４階 、地下１階,1991年3月25日,なし,あり,１基,平置式：２１台,自転車：４０台,VDSL方式、CATV方式,CATV、BS、地上波デジタル,あり,あり,なし,－,開口部（二重サッシ）,－,－,－,－,株式会社アルファ・ホーム,横河建築設計事務所・安川建築設計事務所,横河建築設計事務所・安川建築設計事務所,大成建設株式会社
5,1,北海道,北海道札幌市北区北三十五条西六丁目1-1,インペリアル札幌,インペリアル札幌管理組合 いんぺりあるさっぽろかんりくみあい,－,－,3167 ㎡,所有権,904 ㎡ ／ 6334 ㎡,住宅：９３ 戸 ／ 非住宅：－,住宅： 5156 ㎡ ／ 非住宅：－ （登記簿面積）,鉄骨鉄筋コンクリート／ 地上８階,1975年1月21日,あり,あり,１基,平置式：６１台,自転車：４０台,FTTH方式,CS、BS、地上波デジタル,あり,あり,なし,－,開口部（断熱サッシ）,階段の手摺： － 、廊下の手摺： あり 、車イス用スロープ： あり,－,－,－,－,－,－,－
6,1,北海道,北海道札幌市西区二十四軒4条3丁目4番35号,カルチェド札幌,カルチェド札幌管理組合法人 かるちぇどさっぽろかんりくみあいほうじん,管理組合の自己紹介を見る,－,3382.21 ㎡,所有権,1782.52 ㎡ ／ 11435.98 ㎡,住宅：１１７ 戸 ／ 非住宅：６ 区画,住宅： 7287.56 ㎡ ／ 非住宅： 427.8 ㎡ （登記簿面積）,鉄筋コンクリート／ 地上７階,1974年5月10日,あり,あり,１基,平置式：９０台,自転車：７６台／バイク：５台,FTTH方式,CATV,あり,なし,なし,－,開口部（複層ガラス）,階段の手摺： あり 、廊下の手摺： － 、車イス用スロープ： － 、その他：あり,－,－,－,東洋観光開発株式会社,㈱岡田設計事務所,㈱岡田設計事務所,㈱熊谷組札幌支店
7,1,北海道,北海道札幌市豊平区豊平3条1丁目5番地,コスモビュー豊平橋,コスモビュー豊平橋管理組合法人 こすもびゅーとよひらばしかんりくみあいほうじん,管理組合の自己紹介を見る,－,4196.04 ㎡,所有権,1468.26 ㎡ ／ 17062.75 ㎡,住宅：１６７ 戸 ／ 非住宅：１ 区画,住宅： 13050.7 ㎡ ／ 非住宅： 335.47 ㎡ （壁芯面積）,鉄骨鉄筋コンクリート／ 地上１４階,1987年6月30日,あり,あり,２基,平置式：１０２台,自転車：１００台／バイク：３台,FTTH方式、VDSL方式,CS、BS、地上波デジタル,あり,あり,あり,－,開口部（複層ガラス）,階段の手摺： あり 、廊下の手摺： － 、車イス用スロープ： あり 、その他：あり,－,－,－,日本勤労者住宅協会,小野寺 毅,株式会社創建,株式会社淺沼組 札幌支店
8,1,北海道,北海道札幌市豊平区豊平四条3-1-1,シャルム豊平,シャルム豊平管理組合法人 しゃるむとよひらかんりくみあいほうじん,管理組合の自己紹介を見る,－,6710.49 ㎡,所有権,2073.62 ㎡ ／ 20816.04 ㎡,住宅：２１８ 戸 ／ 非住宅：１５ 区画,住宅： 15614.6 ㎡ ／ 非住宅： 883.37 ㎡ （登記簿面積）,鉄骨鉄筋コンクリート／ 地上１４階 、地下１階,1983年4月26日,あり,あり,２基,平置式：４０台、立体自走式：８２台,自転車：１３３台／バイク：７台,VDSL方式,BS、地上波デジタル,あり,あり,なし,－,開口部（二重サッシ）,階段の手摺： あり 、廊下の手摺： － 、車イス用スロープ： －,－,－,－,日本勤労者住宅協会,株式会社環境開発研究所,株式会社環境開発研究所,（共同企業体） 鹿島建設株式会社 株式会社竹中工務店 戸田建設株式会社 株式会社青木建設
9,1,北海道,北海道旭川市曙1条4丁目1-11,チュリス曙,チュリス曙管理組合 ちゅりすあけぼのかんりくみあい,管理組合の自己紹介を見る,－,4925.6 ㎡,所有権,2546.6 ㎡ ／ 10973.91 ㎡,住宅：１０６ 戸 ／ 非住宅：２ 区画,住宅： 8261.64 ㎡ ／ 非住宅： 155.88 ㎡ （壁芯面積）,鉄骨鉄筋コンクリート／ 地上１０階,1992年5月31日,あり,あり,６基,平置式：８２台、立体自走式：３６台,自転車：１２０台／バイク：４台,FTTH方式,CATV、CS、BS、地上波デジタル,あり,あり,あり,－,開口部（複層ガラス）,階段の手摺： あり 、廊下の手摺： － 、車イス用スロープ： あり 、その他：あり,－,－,－,住建総合建物サービス株式会社,飯田建設設計事務所(大分市),飯田建設設計事務所(大分市),住友建設株式会社
10,1,北海道,北海道札幌市中央区宮の森二条12丁目3番10,ディーグランセ宮の森フォリアハウス,,2008年6月,http://www.daiwahouse.co.jp/mansion/,3599.21 ㎡,所有権,1411.31 ㎡ ／ 2726.15 ㎡,住宅：１６ 戸 ／ 非住宅：－,住宅： 1973.82 ㎡ ／ 非住宅：－ （壁芯面積）,鉄筋コンクリート／ 地上３階 、地下１階,2008年5月25日,なし,あり,３基,平置式：17台,自転車：１６台,VDSL方式、構内LAN方式,CATV、CS、BS、地上波デジタル,あり,あり,あり,－,開口部（断熱サッシ）,階段の手摺： あり 、廊下の手摺： あり 、車イス用スロープ： あり,あり,あり,大和ハウス工業株式会社,（有）谷内建築研究所 （株）札幌構造設計事務所,（有）谷内建築研究所,青木あすなろ建設（株）,
11,1,北海道,北海道小樽市稲穂3丁目,プレミスト小樽ステーションタワー,,2009年6月,http://www.daiwahouse.co.jp/mansion/,3560.32 ㎡,所有権,2774.74 ㎡ ／ 26653.65 ㎡,住宅：１１７ 戸 ／ 非住宅：１３ 区画,住宅： 10213.51 ㎡ ／ 非住宅： 11549.3 ㎡ （壁芯面積）,鉄筋コンクリート／ 地上１７階 、地下１階,2009年5月28日,あり,あり,２基,平置式：１台、機械式：８４台,自転車：６０台／バイク：７台,VDSL方式,CS、BS、地上波デジタル,あり,あり,あり,－,開口部（断熱サッシ）,階段の手摺： あり 、廊下の手摺： あり 、車イス用スロープ： あり 、その他：あり,あり,あり,大和ハウス工業株式会社,大成建設（株）一級建築士事務所,大成建設（株）一級建築士事務所,大成建設（株）,
12,1,北海道,北海道札幌市厚別区厚別中央三条三丁目1番36号,プレミスト新札幌西,プレミスト新札幌西団地管理組合 ぷれみすとしんさっぽろにしだんちかんりくみあい,11月,－,4060.24 ㎡,所有権,986.84 ㎡ ／ 12171.22 ㎡,２棟 住宅：１１６ 戸 ／ 非住宅：０ 区画,,,2008年11月20日,あり,あり,あり,平置式：１８台、機械式：１１７台,自転車：１２１台／バイク：５台,VDSL方式、構内LAN方式,CS、BS、地上波デジタル,あり,あり,あり,－,開口部（断熱サッシ）,階段の手摺： あり 、廊下の手摺： あり 、車イス用スロープ： あり,あり,あり,,,,,
